from,to,year,decade,relationship
Pele,FC Santos,1956,50,1
Pele,FC Santos,1957,50,1
Pele,FC Santos,1958,50,1
Pele,FC Santos,1959,50,1
Pele,FC Santos,1960,60,1
Pele,FC Santos,1961,60,1
Pele,FC Santos,1962,60,1
Pele,FC Santos,1963,60,1
Pele,FC Santos,1964,60,1
Pele,FC Santos,1965,60,1
Pele,FC Santos,1966,60,1
Pele,FC Santos,1967,60,1
Pele,FC Santos,1968,60,1
Pele,FC Santos,1969,60,1
Pele,FC Santos,1970,70,1
Pele,FC Santos,1971,70,1
Pele,FC Santos,1972,70,1
Pele,FC Santos,1973,70,1
Pele,FC Santos,1974,70,1
Pele,New York Cosmos,1975,70,1
Pele,New York Cosmos,1976,70,1
Pele,New York Cosmos,1977,70,1
Maradona,Argentinos Juniors,1976,70,1
Maradona,Argentinos Juniors,1977,70,1
Maradona,Argentinos Juniors,1978,70,1
Maradona,Argentinos Juniors,1979,70,1
Maradona,Argentinos Juniors,1980,80,1
Maradona,Argentinos Juniors,1981,80,1
Maradona,Boca Juniors,1981,80,1
Maradona,Boca Juniors,1982,80,1
Maradona,FC Barcelona,1982,80,1
Maradona,FC Barcelona,1983,80,1
Maradona,FC Barcelona,1984,80,1
Maradona,SSC Neapel,1984,80,1
Maradona,SSC Neapel,1985,80,1
Maradona,SSC Neapel,1986,80,1
Maradona,SSC Neapel,1987,80,1
Maradona,SSC Neapel,1988,80,1
Maradona,SSC Neapel,1989,80,1
Maradona,SSC Neapel,1990,90,1
Maradona,SSC Neapel,1991,90,1
Maradona,FC Sevilla,1992,90,1
Maradona,FC Sevilla,1993,90,1
Maradona,Newells Old Boys,1993,90,1
Maradona,Boca Juniors,1995,90,1
Maradona,Boca Juniors,1996,90,1
Maradona,Boca Juniors,1997,90,1
Cruyff,Ajax Amsterdam,1964,60,1
Cruyff,Ajax Amsterdam,1965,60,1
Cruyff,Ajax Amsterdam,1966,60,1
Cruyff,Ajax Amsterdam,1967,60,1
